command,category,users_count,freq_norm_avg,users_sparkline,freq_norm_avg_bar
ls,filesystem,14,0.7651494388515447,▆▆██▁█▄▄██▆█▁▆▇,██████████▊   
cd,filesystem,14,0.550949058398355,▂▃▁▄█▇██▃▇▄▄▁█▁,███████▊      
get,filters,15,0.39410354309311973,██▄▅▁▆▃▁▁▂▃▂▃▂█,█████▌        
help,core,13,0.38887524504985865,▂▃▂▅▁▃▂▂▁▃█▁▁▇█,█████▌        
open,filesystem,15,0.3715681559911997,▆█▄▄▁▄▃▆▂▂▃▃▁▂▇,█████▎        
overlay,core,2,0.2789422894509141,▁▁▁▁▁█▁▁▁▁▁▁▁▁▁,███▉          
let,core,13,0.26858358046614544,█▆▂▅▁▃▁▁▁▃▂▂▇▃▁,███▊          
if,core,8,0.22733352427905018,▃▂▁▂▁▂▁▁▁▁▂▁█▁▁,███▏          
source,core,10,0.2257818617994543,▅▆▁▆▆▄█▂▁▂▁▁▁▄▁,███▏          
extern,core,2,0.2102672927578111,▁▁▁▁▁▇▁▁▁▁▁▁▁█▁,███           
config,env,14,0.20860158420862612,▁▃▅▃▂█▁▂▂▆▂▂▁▆▅,██▉           
upsert,filters,4,0.20384913083731993,██▁▃▁▁▁▁▁▁▁▁▁▁▁,██▉           
where,filters,12,0.1977431735908617,▆█▄▇▁▆▅▃▂▂▇▄▄▁▁,██▊           
encode,strings,4,0.18449734505281395,▁▁▁▁▁▄▁▁▁▁▁█▁▁▁,██▋           
each,filters,13,0.17921734361505262,██▃▅▁▇▁▂▂▂▄▃▃▁▁,██▌           
dfr open,dataframe,4,0.1603655722889266,▁▂▁▁▁▁▁▁▁▁▁▁▁▁█,██▎           
profile,debug,7,0.1578988592647105,▁▁▂▁▁█▁▁▁▁▁▁▁▆▁,██▎           
debug,debug,9,0.15536388155839795,▁▁▁▃▁▂▁▃▁█▁▂▁▃▁,██▏           
ansi,platform,8,0.1525072887264996,▃▂▁▂▁▁▁▁▁▁▂▁█▁▁,██▏           
ps,system,7,0.14371503010863637,▁▁▂▂█▁▁▁▁▁▂▁▁▅▁,██            
echo,core,12,0.14084084057601062,▂▃▂▃▁▂▁▁▂▃▅▁▁█▇,██            
path,path,10,0.1382157488245359,▁▄▁▄▁▅▂▅▃█▁▄▁▇▁,█▉            
def,core,8,0.13352601812343798,▅▃▂▅▁▄▁▁▁▁▄▁█▄▁,█▉            
overlay use,core,3,0.12442107118575961,▅█▁▁▁▃▁▁▁▁▁▁▁▁▁,█▊            
sys,system,8,0.12164064427774061,▁▁▁▁▁▁▁▁▁▂▂▁▁▁█,█▊            
rm,filesystem,14,0.12064868973449719,▂▂▅▂▁▃▃▃▃▅▂▂▁█▁,█▊            
lines,filters,13,0.11891035304174201,▆▅█▆▂▇▂▆▃█▆▃▂▁▁,█▋            
run-external,system,2,0.11775360815330606,▁▁▁▁▁▁▁▁▁▁▁▁▁█▁,█▋            
from json,formats,8,0.11730166563880755,▆▇▄▃▁▁▃▂▁▁█▁▁▁▁,█▋            
first,filters,11,0.11420353589609285,▆█▁▃▁▁▁▃▂▂▂▁▁▁▁,█▋            
select,filters,10,0.11402593021716942,▆█▂▅▁▁▅▃▄▁▁▂▂▁▁,█▋            
decode,strings,3,0.11187819760503122,▁▁▁▂▁▁▁▁▁▁▁█▁▁▁,█▋            
dfr into-df,dataframe,3,0.10926945930511485,█▄▁▁▁▁▁▁▁▁▁▁▁▁▁,█▌            
length,filters,8,0.10617865701820477,▇█▂▃▁▃▁▁▁▁▂▁▃▁▁,█▌            
table,viewers,10,0.10061413506674581,▂▂▂▇▁▄▂▁▁▃▄▁▁▁█,█▍            
http get,network,7,0.09542101961212292,▂▁▃▃▁▁▂█▁▁▁▁▁▆▁,█▍            
let-env,removed,8,0.09347764929085621,▂▂▂▄▁▅▁▂▁█▁▁▁▆▁,█▎            
sort-by,filters,10,0.09344751995231962,▅▇▂▄▁▃▁▁▁▁▂▂▁▁█,█▎            
find,filters,11,0.09259118256033308,▂▂▃▃▂▄▁▁▁▂▂▁▂▃█,█▎            
flatten,filters,9,0.09244912825274251,██▃▅▁▅▃▁▂▁▆▁▅▁▁,█▎            
print,strings,11,0.0915784990498225,▅▄▄▅▁▂▁▁▂█▃▂▂▆▁,█▎            
clear,platform,5,0.09153908971846937,▁▁▁▁▁▁█▂▁▁▁▁▁▁▁,█▎            
all,filters,10,0.08848762943469927,▁▂▁▂▂█▂▂▆▁▅▁▁▁▁,█▎            
url,network,3,0.08793047941017429,▁▁▁▂▁▁▁▁▁▁█▁▁▁▁,█▎            
dfr into-nu,dataframe,1,0.08784058560390402,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,█▎            
export def,core,4,0.08638484909767502,▃▂▁▁▁▂▁▁▁▁▁▁█▁▁,█▎            
do,core,10,0.08370927422501054,▃▃▂▃▁▂▁▂▁▄▄▁▂█▁,█▏            
exit,shells,6,0.08262058402835461,▂▁▁▁▁▂▁▅█▁▁▅▁▁▁,█▏            
is-empty,filters,7,0.08187675850351663,▂▁▁▁▁▁▁▁▁▁▂▁█▁▁,█▏            
dfr col,expression,3,0.08020998246144918,█▄▁▁▁▁▁▁▁▁▁▄▁▁▁,█▏            
last,filters,8,0.07858472602437548,▆▅▄▄▁█▁▃▁▁▁▁▁▁▁,█▏            
par-each,filters,3,0.07817367687611693,▅█▁▁▁▁▁▁▁▁▁▁▂▁▁,█▏            
which,system,12,0.0762771597324773,▂▂▃▂▁▂▁▂▁▄▁▂▁█▁,█▏            
commandline,core,3,0.07615980520609618,▁▁▁▁▁▁▁▁▁▁█▁▁▁▁,█▏            
transpose,filters,9,0.07611493465707637,▅▇▂█▁▃▂▁▁▁▇▁▂▇▁,█▏            
str replace,strings,7,0.07597032105951018,█▇▃▅▁▁▁▃▁▂▁▁▁▁▁,█▏            
str join,strings,9,0.07581631788424176,▅▃▂▃▁▁▁▁▄▃▆▃█▁▁,█             
update,filters,12,0.07334264543901427,▁▂▄▅▄▆█▅▃▂▃▁▃▁▁,█             
describe,core,9,0.0731072733569514,▄▄▇▅▁▃▁▁▂▂█▁▃▁▁,█             
into,conversions,4,0.07277982919784531,▁▁▁▃▁▂▁▁▁▁█▁▁▁▁,█             
reverse,filters,4,0.07004617227738288,▂▅▁▂▁▁▁▁▁▁█▁▁▁▁,█             
split row,strings,6,0.06835952597783128,▆▆▃▄▁▂▁▁▁▁▁▁▁█▁,█             
history,misc,7,0.06779929789794525,▆█▃█▂▂▁▁▁▁▅▁▁▁▁,█             
metadata,debug,5,0.06636919053613619,▁▁▁▁▁▁▃▁▁▁▃▁█▁▁,▉             
from,formats,10,0.06585739796680573,▁█▁▂▁▂▂█▂▁▂▁▁▁▁,▉             
append,filters,7,0.06519455346923096,▇█▃▃▁▄▁▁▄▁▁▁▆▁▁,▉             
version,core,10,0.06411514421264611,▁▁▂▂▁▂▂▁▁▃▃▂▁█▁,▉             
skip,filters,8,0.0635936351165983,▅▇▃▄▁█▁▁▇▁▁▁▂▁▁,▉             
parse,strings,8,0.06328893410674308,▅█▄▄▁▂▁▂▂▁▁▁▁▁▁,▉             
config nu,env,4,0.06277838892276784,▅█▁▁▁▃▁▁▁▁▇▁▁▁▁,▉             
char,strings,6,0.06273123482704046,▄▂▁▅▁▃▁▁▁▁▁▁▄█▁,▉             
use,core,8,0.060609789950156596,▃▂▂▂▁█▃▁▁▁▁▁▂▇▁,▉             
save,filesystem,12,0.06059814352327781,▇█▅▃▁▃▂▄▂▂▅▃▁▁▁,▉             
to yaml,formats,2,0.058408319965115994,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▉             
merge,filters,8,0.05817461253473597,▄▄▂█▁▄▄▁▃▁▁▁▂▁▁,▉             
from nuon,formats,2,0.05814954291476098,▁▁▁▁▁▁▁▁▁▁█▁▁▁▁,▉             
register,core,6,0.05799696095581814,▁▁▁▆▁▂▁█▁▁▁▆▁▁▁,▊             
uniq,filters,5,0.057951801685949156,▆█▃▃▁▁▁▁▁▁█▁▁▁▁,▊             
any,filters,7,0.05778005758561016,▁▁▃▂▁▁▁▁▂▃█▁▂▁▁,▊             
from tsv,formats,4,0.05763206557389921,▁▂▁▁▁▁▁▁▁▁█▁▁▁▁,▊             
continue,core,2,0.057257320339402666,▁▁▁▁▂▁▁▁█▁▁▁▁▁▁,▊             
to text,formats,9,0.0562311669707084,▁▂▄▃▁▁▁▄▁▄█▃▁▁▁,▊             
mv,filesystem,9,0.05486192864175544,▃▂▇▂▁▅▅▂▄█▁▁▁▁▁,▊             
dfr with-column,dataframe or lazyframe,2,0.05409508161045937,█▄▁▁▁▁▁▁▁▁▁▁▁▁▁,▊             
explore,viewers,6,0.053099018733419656,▂▃▂▆▁▁▁█▁▁▇▁▁▁▁,▊             
try,core,8,0.052709071847643896,▂▂▁▂▁▁▁▁▆▁▅▁▄█▁,▊             
dfr filter-with,dataframe or lazyframe,3,0.05138677044622928,▇█▁▁▁▁▁▁▁▁▁▆▁▁▁,▊             
dfr select,lazyframe,2,0.050826175080994476,█▄▁▁▁▁▁▁▁▁▁▁▁▁▁,▊             
into datetime,conversions,4,0.04889922032697153,▄▄▁█▁▁▁▂▁▁▁▁▁▁▁,▋             
fill,conversions,5,0.04886448128320527,▂▂▁▁▁▁▁▁▁▁█▁▁▁▁,▋             
complete,system,8,0.0488183486268966,▂▃▂▂▁▁▁▂▁▁▁▁▁█▁,▋             
group-by,filters,6,0.048260449357989836,▅▄▁▅▁█▂▁▁▁▁▁▁▁▁,▋             
mkdir,filesystem,9,0.047820695745966965,▂▃▄▂▁▄▄▃▁▄█▁▁▁▁,▋             
into int,conversions,7,0.045266319758057116,▆█▁▇▁▃▂▃▁▁▁▁▃▁▁,▋             
module,core,3,0.04502962962838297,▁▁▁▁▁█▁▁▁▁▁▁▁▁▁,▋             
timeit,debug,7,0.044792377947274656,▅▃▃▂▁▁▂▁▁█▁▁▁▁▁,▋             
dfr filter,lazyframe,3,0.04471150212355179,▄▂▁▁▁▁▁▁▁▁▁█▁▁▁,▋             
bytes at,bytes,1,0.04459016393442623,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,▋             
http,network,4,0.04399300621939248,▁▁▄▂▁▁▁█▁▁▁▁▁▁▁,▋             
dfr into-lazy,lazyframe,2,0.04366452876501987,█▇▁▁▁▁▁▁▁▁▁▁▁▁▁,▋             
cp,filesystem,7,0.043010678869086334,▂▃▅▂▁▅▁▁▃█▁▁▁▁▁,▋             
default,filters,7,0.042223877060348705,▄▄▃▅▁█▁▁▄▁▁▁▄▁▁,▋             
from xml,formats,3,0.041041104883756625,▁▁▂▁▁█▁▁▁▁▁▁▁▁▁,▋             
start,filesystem,6,0.040773243937041466,▂▃▃▂▁▁▁█▃▁▁▁▁▁▁,▋             
dfr sort-by,lazyframe,3,0.04061904404496606,▇█▁▁▁▃▁▁▁▁▁▁▁▁▁,▋             
to,formats,9,0.04055254146918566,▁█▃▂▄▄▂▄▄▁▁▁▁▁▁,▋             
error make,core,5,0.04044400735138289,▁▁▁▂▁▂▁▁▁▁▅▁█▁▁,▋             
glob,filesystem,5,0.040038517855632394,█▅▃▄▁▁▂▁▁▁▁▁▁▁▁,▌             
size,strings,7,0.03963271783815788,▁█▂▆▁▆▂▁▁▁▁▄▁▁▁,▌             
for,core,10,0.03905551718650304,▂▂▃▄▄▂▁▁▄▁█▁▂▁▁,▌             
input,platform,6,0.03897064551186057,▁▁▂▂▂▁█▁▁▁▁▁▁▁▁,▌             
ignore,core,5,0.03881902140969991,▁▂▂▁▁▁▁▁▁▁▁▁▁█▁,▌             
filter,filters,8,0.038441966963626714,▂▁▂▂▁▂▂▅▁█▁▁▄▁▁,▌             
help commands,core,7,0.038210811599707226,▃▂▁█▁▃▂▄▁▁▁▇▁▁▁,▌             
into binary,conversions,4,0.038186105233029774,▂▂▁█▁▁▁▁▁▁▁▅▁▁▁,▌             
str substring,strings,5,0.03796891483098941,▅▆▁▂▁▁▁▁▁▁█▁▂▁▁,▌             
mut,core,6,0.037646490822794386,▃▃▂▃▁▅▁▁▁▁▁▁█▁▁,▌             
dfr rename,dataframe or lazyframe,2,0.037640523316825436,██▁▁▁▁▁▁▁▁▁▁▁▁▁,▌             
reject,filters,8,0.03743484254432133,█▆▃▄▁▄▁▂▃▁▁▁▃▁▁,▌             
prepend,filters,5,0.036951413449424965,▂▁▂▂▁▁▁▁▁▁▁▁▁█▁,▌             
reduce,filters,5,0.036778981709792435,██▃▆▁▁▁▁▁▁▁▁▄▁▁,▌             
date now,date,6,0.036204962356243486,█▇▂▆▁▁▁▁▁▁▆▁▂▁▁,▌             
dfr join,lazyframe,2,0.03588021428862341,█▄▁▁▁▁▁▁▁▁▁▁▁▁▁,▌             
columns,filters,8,0.033905878931946916,▅█▂▄▁▃▂▂▁▁▁▁▂▁▁,▌             
export,core,3,0.033897850824331395,▁▁▁▁▁█▄▁▁▁▁▁▁▁▁,▌             
dfr get,dataframe,3,0.033780680335322104,▅█▁▁▁▁▁▁▁▁▁█▁▁▁,▌             
drop,filters,5,0.03355106090908021,▂▂▁▁▁█▁▁▂▁▁▁▁▁▁,▌             
with-env,env,3,0.0334372461359625,▁▁▂▁▁▁▁▁█▁▁▁▁▁▁,▌             
