name,category,freq_overall,users_count,f_n_per_user,f_n_by_user,importance,importance_b,crate,first_tag,last_tag
ls,filesystem,13252,14,0.7616999105132108,▆▆██▁█▄▄██▆█▁▆▇,1,████████████,nu-parser,0.11.0,0.84.0
cd,filesystem,7195,14,0.4840593350697712,▂▂▄▇▂▁██▃▇▄▄▁█▁,0.7971817497950304,█████████▋  ,nu-command,0.11.0,0.84.0
get,filters,12474,15,0.39288513330802943,██▅▆▁▄▃▁▁▂▃▂▃▂█,0.7433998295074983,████████▉   ,nu-command,0.11.0,0.84.0
open,filesystem,9193,15,0.35456996746187297,▇▇▅▅▁▅▄▇▂▂▄▄▁▂█,0.7062210092297828,████████▌   ,nu-command,0.11.0,0.84.0
help,core,3735,13,0.3749953371229153,▂▂▅▃▁▂▂▂▁▃█▁▁▇█,0.6761275615334308,████████▏   ,nu-command,0.11.0,0.84.0
let,core,7478,13,0.2630449801103569,█▆▅▃▁▂▁▁▁▃▂▂▇▃▁,0.5662793372976537,██████▊     ,nu-cmd-lang,0.25.0,0.84.0
config,env,1698,14,0.1917442545928549,▁▁▃█▁▅▁▂▂▆▂▂▁▆▅,0.5017290271639567,██████      ,nu-command,0.11.0,0.84.0
where,filters,4336,12,0.19259867932080688,▇▇█▇▁▄▅▃▃▂▇▄▄▁▁,0.4655446126408787,█████▋      ,nu-command,0.11.0,0.84.0
each,filters,5174,13,0.17622450048309016,█▇▅▇▁▃▁▂▂▂▄▃▃▁▁,0.4634990519159712,█████▌      ,nu-command,0.13.0,0.84.0
source,core,4777,10,0.19837052580385572,▅▆▆▄▂▁█▂▁▂▁▁▁▄▁,0.4313031222994095,█████▏      ,nu-command,0.25.0,0.84.0
if,core,2347,8,0.22921693996163567,▃▂▂▂▁▁▁▁▁▁▂▁█▁▁,0.41467932084074166,█████       ,nu-cmd-lang,0.17.0,0.84.0
rm,filesystem,1513,14,0.11751731438274336,▂▂▂▃▁▅▃▃▃▅▂▂▁█▁,0.3927886922923567,████▊       ,nu-command,0.11.0,0.84.0
echo,core,1204,12,0.13598335013097151,▂▂▃▂▁▂▁▁▂▃▅▁▁█▇,0.3911807915058844,████▊       ,nu-cmd-lang,0.11.0,0.84.0
lines,filters,2453,13,0.11922552678307116,▆▆▆▇▁█▂▆▃█▆▃▂▁▁,0.38124164168871344,████▋       ,nu-command,0.11.0,0.84.0
debug,debug,805,9,0.15435686075893992,▁▁▃▂▁▁▁▃▁█▁▂▁▃▁,0.3609343812988663,████▍       ,nu-command,0.11.0,0.84.0
p,,1080,6,0.21511330715677093,▁▁▁█▁▂▁▁▄▂▁▁▁▁▁,0.34789909071299113,████▏       ,nu-command,0.11.0,0.79.0
path,path,764,9,0.13967724513693383,▁▁▄▅▁▁▂▅▃█▁▄▁▇▁,0.34334293476732675,████▏       ,nu-command,0.18.1,0.84.0
ansi,platform,1823,8,0.15605913932679166,▃▂▂▁▁▁▁▁▁▁▂▁█▁▁,0.34216345856295993,████▏       ,nu-command,0.16.0,0.84.0
first,filters,3599,11,0.1053264036740893,██▄▁▁▁▂▄▂▃▃▁▁▁▁,0.32961654304433047,████        ,nu-command,0.11.0,0.84.0
g,,6827,5,0.23014083204446964,▁▁▁▁█▁▁▁▁▂▁▁▁▁▁,0.3284928124675551,████        ,nu-command,0.38.0,0.79.0
profile,debug,741,7,0.1573766978856907,▁▁▁█▁▂▁▁▁▁▁▁▁▆▁,0.32141287104166594,███▉        ,nu-command,0.76.0,0.84.0
select,filters,2832,10,0.10854248480158221,██▆▂▁▂▅▄▄▁▁▃▃▁▁,0.3190390985905791,███▉        ,nu-command,0.14.0,0.84.0
def,core,1500,8,0.1305296317486621,▅▃▅▄▁▂▁▁▁▁▄▁█▄▁,0.3129273913664763,███▊        ,nu-cmd-lang,0.25.0,0.84.0
print,strings,1577,11,0.09092084896435511,▅▄▅▂▁▄▁▁▂█▃▂▂▆▁,0.3062471907758032,███▋        ,nu-cli,0.60.0,0.84.0
table,viewers,876,10,0.09836979067943338,▂▂▇▄▁▂▂▁▁▃▄▁▁▁█,0.30372105761401097,███▋        ,nu-command,0.11.0,0.84.0
sys,system,250,8,0.12114738595681294,▁▁▁▁▁▁▁▁▁▂▂▁▁▁█,0.30147135100924327,███▋        ,nu-command,0.37.0,0.84.0
find,filters,792,11,0.0880864813011727,▂▂▃▄▁▃▁▁▁▂▂▁▂▃█,0.3014359204046295,███▋        ,nu-command,0.37.0,0.84.0
from json,formats,2236,8,0.11337008503040742,▆▆▃▁▁▄▃▂▁▁█▁▁▁▁,0.29163407048122403,███▌        ,nu-command,0.14.0,0.84.0
which,system,1037,12,0.07520376998885553,▂▂▂▂▁▃▁▂▁▄▁▂▁█▁,0.2909071925577694,███▌        ,nu-command,0.11.0,0.84.0
n,,746,7,0.1282616153815094,▁▁▅█▁▃▁▁▂▃▅▁▁▁▁,0.29016257892249064,███▌        ,nu-command,0.11.0,0.79.0
sort-by,filters,1810,10,0.08830487765250745,▅▅▄▃▁▂▁▁▁▁▂▂▁▁█,0.28776394353460444,███▌        ,nu-command,0.11.0,0.84.0
flatten,filters,2111,9,0.09559093798340573,▇█▅▅▁▃▃▁▂▁▅▁▅▁▁,0.28403616885988425,███▍        ,nu-command,0.22.0,0.84.0
upsert,filters,3794,4,0.21294194955632478,▇█▃▁▁▁▁▁▁▁▁▁▁▁▁,0.2826211364927777,███▍        ,nu-command,0.60.0,0.84.0
