name,category,freq,freq_norm,freq_norm_bar,timeline,importance,importance_b,freq_by_user
get,filters,7550,1,██████████,▆█▅▄▃▂▂▁▂▂,0.83,██████████  ,▇█▅▂▆▂▁▄▃▁▂▃▂▃▂█
open,filesystem,7010,0.93,█████████▎,▃█▃▁▂▂▃▃▆▅,0.79,█████████▌  ,▆█▄▁▄▂▁▄▃▆▂▃▃▁▂▇
each,filters,4365,0.58,█████▊    ,▁▇▆▄▄▁▂▅█▅,0.57,██████▊     ,▅█▃▂▄▂▁▂▁▁▂▃▂▂▁▁
let,core,4346,0.58,█████▊    ,▅█▃▆▄▁▂▅▁▅,0.64,███████▋    ,▅▃▄█▃▁▁▂▁▁▂▂▂▆▃▁
where,filters,3795,0.5,█████     ,▂▇▁▅█▃█▂▅▃,0.51,██████▏     ,▇█▅▂▅▂▁▃▃▂▂▅▃▃▁▁
ls,filesystem,3642,0.48,████▉     ,▁█▃▁▃▁▂▅▁▁,1,████████████,▇▄█▁█▃▁█▄▄█▆█▁▆▇
upsert,filters,2807,0.37,███▊      ,▅▅▄▅█▃▂▁▁▁,0.17,██          ,█▅▃▂▁▁▁▁▁▁▁▁▁▁▁▁
first,filters,2567,0.34,███▍      ,▃█▅▂▄▂▁▂▂▃,0.27,███▎        ,█▁▄▂▁▂▁▁▂▄▃▃▁▁▁▁
polars,dataframe,2330,0.31,███▏      ,▁▁▁▁▁▁▄█▃▁,0.05,▌           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
str replace,strings,2188,0.29,██▉       ,▁▁▅▁▂▁█▃▄▅,0.2,██▍         ,█▂▄▂▁▂▁▂▁▂▂▁▁▁▁▁
lines,filters,2148,0.28,██▉       ,▁▃▃▃▅▂▅▂█▆,0.45,█████▍      ,██▆▂▆█▁▇▁▅▇▆▃▁▁▁
use,core,2014,0.27,██▋       ,▁▁▂▃▃▂█▄▃▃,0.23,██▊         ,█▁▂▂▆▄▁▂▂▁▁▁▁▂▅▁
select,filters,1848,0.24,██▌       ,██▅▅▅▂▄▁▁▂,0.29,███▍        ,▇█▆▂▁▂▁▂▅▃▁▁▃▃▁▁
source,core,1777,0.24,██▍       ,█▃▄▇▂▂▄▂▁▂,0.41,████▉       ,▄▅▆▂▄▁▂▁█▂▂▁▁▁▄▁
sort-by,filters,1665,0.22,██▎       ,▁█▃▃▄▃▁▃▂▅,0.3,███▋        ,▆█▄▁▃▂▁▂▁▁▁▂▂▂▁█
flatten,filters,1452,0.19,█▉        ,▄█▂▇▅▃▂▂▁▂,0.24,██▉         ,█▅▅▂▅▁▁▃▃▁▁▆▁▄▁▁
from json,formats,1424,0.19,█▉        ,█▁▂▄▃▁▁▂▂▁,0.27,███▎        ,▆█▃▂▁▁▁▄▃▂▁█▁▁▁▁
length,filters,1401,0.19,█▉        ,▁█▁▂▄▂▂▃▁▂,0.23,██▊         ,█▅▄▃▄▂▁▂▁▁▁▃▁▃▁▁
last,filters,1307,0.17,█▊        ,▁▅█▃▄▅▆▁▂▂,0.19,██▎         ,▇▁▄▂█▁▁▄▁▃▁▁▁▁▁▁
cd,filesystem,1285,0.17,█▊        ,██▃▁▁▃▅▅▁▅,0.87,██████████▍ ,▂▃▄▁▇▃▂▁██▇▄▄▁█▁
parse,strings,1268,0.17,█▋        ,█▆▂▁▂▁▇▅▆▇,0.2,██▍         ,▆█▃▁▂▃▁▃▁▂▁▁▁▁▁▁
save,filesystem,1249,0.17,█▋        ,▄▅▂▃▃▅▁█▂▂,0.27,███▎        ,█▇▃▂▃▅▁▅▂▄▂▅▃▁▁▁
glob,filesystem,1229,0.16,█▋        ,▁▃▃▆▅▂▂▂█▆,0.09,█▏          ,█▁▃▁▁▁▁▂▂▁▁▁▁▁▁▁
str join,strings,1225,0.16,█▋        ,▁▁▂▂▃▃▄█▅▄,0.26,███▏        ,▇▆▃▆▁▅▁▂▁▁▃▅▃█▁▁
char,strings,1194,0.16,█▋        ,▁▁▁▃▅▅▅▃█▆,0.19,██▎         ,▅▁▄█▂▁▁▁▁▁▁▁▁▂▅▁
reject,filters,1090,0.14,█▌        ,▁▅▄█▅▅▂▃▆▄,0.13,█▌          ,█▁▃▁▃▁▁▂▁▂▁▁▁▁▁▁
print,strings,1074,0.14,█▍        ,▄▅▃▄▂▅▁▄█▇,0.32,███▉        ,█▄▅▅▂▂▁▄▁▁█▃▂▂▆▁
if,core,1063,0.14,█▍        ,▃▃▇▁▅▂██▃▄,0.38,████▌       ,▂▂▂▅▂▁▁▁▁▁▁▂▁█▁▁
help,core,1044,0.14,█▍        ,█▃▄▂▁▁▃▁▁▂,0.69,████████▎   ,▂▂▅▁▃▁▁▂▂▂▃█▁▁▇█
table,viewers,1036,0.14,█▍        ,▂▁▁▂▁▃▃▂█▄,0.31,███▊        ,▄▂▇▁▄▁▁▂▂▁▃▄▁▁▁█
split row,strings,933,0.12,█▎        ,█▁▃▁▃▃▆▆▆▃,0.16,██          ,▇▂▄▃▂▁▁▃▁▁▁▁▁▁█▁
date now,date,894,0.12,█▏        ,▁▂▁▁▁▃█▃▁▃,0.12,█▌          ,█▃▄▂▁▂▁▂▁▁▁▄▁▂▁▁
insert,filters,873,0.12,█▏        ,▁▃▂▁▂▁▅▅▇█,0.14,█▋          ,▅█▁▂▃▂▁▁▂▁▁▁▁▂▁▁
ansi,platform,868,0.11,█▏        ,▆▃▂▂▂▂▁▁█▅,0.3,███▋        ,▂▁▂▄▁▁▁▁▁▁▁▂▁█▁▁
into int,conversions,866,0.11,█▏        ,█▃▂▄█▄▁▇▂▆,0.14,█▊          ,█▂▆▂▃▂▁▁▂▃▁▁▁▃▁▁
history,history,837,0.11,█▏        ,▂▆█▆▅▆▂▃▁▅,0.15,█▉          ,▆▂█▁▂▁▁▃▁▁▁▅▁▁▁▁
to yaml,formats,820,0.11,█▏        ,▁▁█▃▂▁▁▁▂▄,0.05,▌           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
transpose,filters,766,0.1,█         ,▅█▂▆▅▁▃▁▃▅,0.21,██▋         ,▅▃█▂▃▁▁▂▂▁▁▇▁▁▇▁
update,filters,754,0.1,█         ,▁▁▁▁▁▁▂█▃▅,0.29,███▍        ,▄▁▅▂▆▃▁▄█▅▂▃▁▁▁▁
rename,filters,709,0.09,█         ,▃▄▁▅▄▂▄▄▂█,0.13,█▋          ,▇█▄▂▁▃▁▂▂▁▁▁▁▃▁▁
append,filters,702,0.09,▉         ,█▄▄▁▇▂▅▁▁▂,0.15,█▉          ,█▂▄▅▅▆▁▄▁▁▁▁▁█▁▁
def,core,679,0.09,▉         ,█▂▃▁▁▃▅▃▅▃,0.29,███▌        ,▃▁▅▇▄▁▁▂▁▁▁▅▁█▄▁
describe,core,650,0.09,▉         ,▂█▆▆▅▁▃▁▃▁,0.21,██▌         ,▄▁▅▂▃▁▁▇▁▁▂█▁▃▁▁
uniq,filters,647,0.09,▉         ,▃█▃▃█▄▁▃▃▁,0.12,█▌          ,▇▆▃▂▁▁▁▃▁▁▁█▁▁▁▁
timeit,debug,600,0.08,▊         ,▁▆▆▂▁▁▁█▁▂,0.14,█▋          ,▅▁▂▁▁▃▁▃▂▁█▁▁▁▁▁
overlay use,core,580,0.08,▊         ,█▁▂▂▄▄▂▁▂▂,0.06,▊           ,█▃▁▁▄▁▁▁▁▁▁▁▁▁▁▁
group-by,filters,573,0.08,▊         ,▂▃▂█▄▃▂▂▁▆,0.13,█▋          ,▄▇▅▁█▁▁▁▂▁▁▁▁▁▁▁
default,filters,571,0.08,▊         ,▂▁▁▄█▅▃▁▂▁,0.16,█▉          ,▆█▄▂▇▂▁▃▁▁▁▁▁▇▁▁
fill,conversions,566,0.07,▊         ,▁▂▂▁▁▁▁▄█▆,0.11,█▍          ,▄▁▁▂▁▁▁▁▁▁▁█▁▁▁▁
par-each,filters,558,0.07,▊         ,▂█▂▃▃▂▁▁▁▂,0.05,▋           ,█▆▁▂▁▁▁▁▁▁▁▁▁▁▁▁
enumerate,filters,541,0.07,▊         ,▁▄▆▄▅▄█▇▆▅,0.07,▉           ,█▂▃▂▁▁▁▂▁▁▁▁▁▅▁▁
wrap,filters,533,0.07,▊         ,█▃▁▅▇█▅█▅█,0.06,▊           ,█▁▅▂▁▁▁▃▁▁▁▁▁▁▁▁
merge,filters,522,0.07,▊         ,▄▄▄█▄▅▃▄▁▅,0.15,█▉          ,▄▂█▁▄▂▁▂▄▁▁▁▁▁▁▁
values,filters,520,0.07,▊         ,▂▂▅▃▂▃▂▃▁█,0.06,▊           ,█▅▃▁▁▁▁▁▂▁▁▁▁▂▁▁
which,system,519,0.07,▋         ,▅▃█▄▃▃▃▂▁▅,0.27,███▎        ,▂▁▂▁▂▁▁▃▁▂▄▁▂▁█▁
term size,platform,505,0.07,▋         ,▁▁▁▁▁▁▁▂█▆,0.07,▊           ,█▁▄▁▁▁▁▁▃▁▁▁▁▁▁▁
skip,filters,500,0.07,▋         ,▃█▄▂▂▂▁▃▂▃,0.14,█▋          ,▄▂▄▂█▁▁▃▁▁▁▁▁▂▁▁
format date,strings,463,0.06,▋         ,▁▁▁▂▂▇█▂▄▅,0.06,▋           ,█▅▁▄▁▁▁▁▁▁▁▁▁▂▁▁
rm,filesystem,457,0.06,▋         ,▃▇▃▃▄▂▁▂▃█,0.42,█████       ,▂▂▂▁▃▄▁▅▃▃▅▂▂▁█▁
str substring,strings,450,0.06,▋         ,▃█▂▄▆▃▁█▃▅,0.1,█▏          ,▆▂▂▄▁▁▁▁▁▁▁█▁▂▁▁
columns,filters,435,0.06,▋         ,▃█▄▃▄▂▁▂▂▁,0.12,█▍          ,█▇▆▂▄▁▁▃▃▃▁▁▁▁▁▁
join,filters,409,0.05,▌         ,▁▁▁▂█▂▄▃▁▃,0.04,▌           ,█▃▃▁▁▁▁▁▁▁▁▁▁▁▁▁
mv,filesystem,402,0.05,▌         ,▁▃▇▆█▄▂▃▄▄,0.19,██▍         ,▄▃▂▁▅▄▁▇▅▂█▁▁▁▁▁
from yaml,formats,400,0.05,▌         ,▁▃█▃█▄▁▂▄▁,0.04,▍           ,█▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
into string,conversions,386,0.05,▌         ,▂▄▁▁▅▂▂█▁▂,0.07,▉           ,█▃▄█▁▂▁▁▁▁▁▁▁▁▁▁
help commands,core,386,0.05,▌         ,▁▂▁▅▃▁█▆▂▂,0.14,█▋          ,▅▁█▁▃▁▁▁▂▄▁▁▇▁▁▁
ansi strip,platform,383,0.05,▌         ,▁▁▃▄▂▃██▆█,0.04,▌           ,█▁▇▂▁▁▁▁▁▁▁▁▁▁▁▁
str trim,strings,368,0.05,▌         ,▁▃▁▃▆▃█▄▃▅,0.13,█▌          ,▅▆█▄▃▃▁▄▁▁▁▁▁▂▁▁
items,filters,342,0.05,▌         ,▁▁▃█▂▃▂▁▄▆,0.07,▊           ,▆▁▂▁▁▁▁▃▁█▁▁▁▁▁▁
into datetime,conversions,340,0.05,▌         ,▇▅█▃▆▇▁▁▂█,0.1,█▏          ,▃▅█▂▁▁▁▁▁▂▁▁▁▁▁▁
do,core,323,0.04,▍         ,█▄▂▃▄▂▂▄▁▂,0.27,███▎        ,▂▁▃▂▂▁▁▂▁▂▄▄▁▂█▁
seq,generators,306,0.04,▍         ,▂▁▁▂▇▆▅█▇▃,0.07,▊           ,█▁▆▇▁▁▁▁▁▁▁▁▁▂▁▁
reduce,filters,299,0.04,▍         ,█▃▅▄▂▂▂▁▁▃,0.09,█▏          ,▇▆█▅▁▂▁▃▁▁▁▁▁▅▁▁
query db,database,295,0.04,▍         ,▁▁▁▁▁▁▁▂▂█,0.02,▎           ,██▁▅▁▁▁▁▁▁▁▁▁▁▁▁
complete,system,278,0.04,▍         ,▇▄▃▁▄▂▃█▁▂,0.15,█▊          ,▂▁▂▁▁▁▁▂▁▂▁▁▁▁█▁
math sum,math,276,0.04,▍         ,▂▅▁█▃▁▁▂▇█,0.06,▊           ,▇▆▃▁█▁▁▁▁▁▁▁▁▁▁▁
path join,path,267,0.04,▍         ,▁▁▁▂█▄▄▄▆▅,0.1,█▎          ,▅▁▃▅▅▂▁▇▁▁▁█▁▁▁▁
echo,core,259,0.03,▍         ,█▂▂▂▁▂▁▁▁▁,0.4,████▊       ,▂▂▃▂▂▂▁▂▁▁▃▅▁▁█▇
clear,platform,251,0.03,▍         ,▁▁▁▁▁▁▁▁█▂,0.14,█▊          ,▂▁▁▁▁▁▁▁█▂▁▁▁▁▁▁
cp,filesystem,243,0.03,▍         ,▁█▃▇▂▆▃▆▂▄,0.13,█▌          ,▃▂▂▁▅▂▁▅▁▁█▁▁▁▁▁
ansi gradient,platform,236,0.03,▍         ,▂▁▂▁▁█▄▅▁▄,0.02,▎           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
http get,network,233,0.03,▎         ,▁▃▅█▆▅▁▃▂▁,0.18,██▎         ,▂▁▃▁▁▁▁▃▂█▁▁▁▁▆▁
ast,debug,233,0.03,▎         ,▁▂▂▁▁▁▂▃██,0.02,▎           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
to json,formats,232,0.03,▎         ,▄▁█▅▄▂▁▂▂▆,0.13,█▋          ,▂█▃▁▁▁▁▂▁▄▁▁▁▂▁▁
view source,debug,231,0.03,▎         ,▁▄▃▃▂▁▇█▃▄,0.05,▋           ,██▁▁▁▁▁▁▁▁▁▁▁▄▁▁
reverse,filters,227,0.03,▎         ,▄▂▄▄█▁▃▁▁▁,0.09,█▏          ,▂▂▂▁▁▁▁▁▁▁▁█▁▁▁▁
to nuon,formats,227,0.03,▎         ,▁▂▆▅█▄█▆▆▃,0.09,█▏          ,▃▂▂▁▁▁▁▂▁▁▁█▁▄▁▁
into binary,conversions,212,0.03,▎         ,▂▂▁▁▁▁▁▃▃█,0.07,▉           ,▂▁█▁▁▁▁▁▁▁▁▁▅▁▁▁
start,filesystem,210,0.03,▎         ,▁▃▃▂▂▂█▇▂▂,0.09,█           ,▂▁▂▁▁▂▁▃▁█▁▁▁▁▁▁
mkdir,filesystem,206,0.03,▎         ,▇█▅▂▆▄▁▅█▃,0.19,██▎         ,▂▂▂▁▄▃▁▄▄▃▄█▁▁▁▁
drop,filters,201,0.03,▎         ,▆▁▅▂▂▂█▆▆▂,0.08,█           ,▃▁▁▁█▁▁▁▁▁▁▁▁▁▁▁
split chars,strings,198,0.03,▎         ,▃▁▂▃█▁▁▅▁▂,0.06,▊           ,▄▁▄▂▁▁▁▁▁▁▁▁█▁▁▁
math round,math,193,0.03,▎         ,▁▁▁▂▁▁▁█▁▁,0.02,▎           ,█▁▁▄▁▁▁▁▁▁▁▁▁▁▁▁
str length,strings,192,0.03,▎         ,▂▂▁▃▃▁▄█▃▅,0.06,▊           ,▅▂█▄▁▁▁▁▁▁▁▁▁▁▁▁
ps,system,192,0.03,▎         ,▂▁▂▃▁▂▂▁▁█,0.2,██▍         ,▁▁▂▁▁▁▃▃▁▁▁▃▁▁█▁
uniq-by,filters,192,0.03,▎         ,▁▂▁▂█▅▂▂▃▂,0.02,▎           ,█▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
find,filters,190,0.03,▎         ,▂▇▆█▃▁▃▁▂▂,0.33,███▉        ,▁▅▃▁▄▁▁▃▁▁▂▂▁▂▃█
to text,formats,189,0.03,▎         ,▁▃▁▁▂▁▁▁▁█,0.22,██▋         ,▁▆▃▁▁▁▁▄▁▄▄█▃▂▁▁
path parse,path,187,0.02,▎         ,▁▇▃▂▆▂▅▇█▄,0.08,█           ,▃▁▃▁▃▁▁▃▁▁▁█▁▁▁▁
skip until,filters,182,0.02,▎         ,▁▁▇▅▂▃▃█▁▁,0.03,▍           ,█▁▁▁▁▁▁▆▁▁▁▁▁▁▁▁
sort,filters,180,0.02,▎         ,▂▃▃▄█▃▄▁▄▂,0.06,▊           ,▆▆▁▂▁█▁▁▄▁▁▁▁▁▁▁
sleep,platform,178,0.02,▎         ,▁▁▁▁▁▂▁█▁▄,0.08,█           ,▃█▄▁▁▄▁▅▁▁▁▁▁▁▁▁
path basename,path,176,0.02,▎         ,▁█▂▇█▂▃▂▃▂,0.04,▌           ,█▁▁▃▁▂▁▆▁▁▁▁▁▁▁▁
explore,viewers,175,0.02,▎         ,███▂▅▇▆▃▁▆,0.13,█▌          ,▂▃▆▁▁▁▁▂▁█▁▇▁▁▁▁
prepend,filters,172,0.02,▎         ,▁▁█▂▃▂▃▇▃▂,0.1,█▎          ,▂▁▂▂▁▁▁▂▁▁▁▁▁▁█▁
overlay hide,core,171,0.02,▎         ,▄▂▁▁▄█▄▁▁▂,0.02,▎           ,█▁▁▁█▁▁▁▁▁▁▁▁▁▁▁
window,filters,165,0.02,▎         ,▃▄▂▁█▅▇▃▁▂,0.04,▌           ,█▄▇▁▁▁▁█▁▁▁▁▁▁▁▁
debug profile,debug,152,0.02,▎         ,▁▁▁▁▁▁▁█▇▃,0.01,▏           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
filter,filters,148,0.02,▎         ,▅█▆▁▃▁▄▅▁▂,0.15,█▉          ,▂▁▂▂▂▂▁▂▂▅█▁▁▂▁▁
str upcase,strings,144,0.02,▎         ,▁▁▁▂▂▁▁▁█▂,0.02,▎           ,█▁▁▂▁▁▁▁▁▁▁▁▁▃▁▁
into float,conversions,144,0.02,▎         ,▁▁▁▁█▂▁▅▁▂,0.03,▎           ,█▁▁▄▁▁▁▁▁▁▁▁▁▄▁▁
try,core,136,0.02,▏         ,▆█▇▃▃▁▄▆▁▅,0.15,█▊          ,▂▂▂▁▁▂▁▁▁▁▁▅▁▄█▁
inspect,debug,134,0.02,▏         ,▁██▁▃▃▃▂▄▂,0.04,▌           ,▅▁▆▁▁▁▁▁▁▁█▁▁▁▁▁
path expand,path,133,0.02,▏         ,▁▃▃▁▂▂▃▅█▃,0.11,█▍          ,▂▁▂▂▂█▁▅▁▁▁▁▁▃▁▁
math max,math,127,0.02,▏         ,▁▁▄▄▂▄▁█▂▂,0.02,▎           ,█▁▁▃▁▁▁▁▁▁▁▁▁▄▁▁
into record,conversions,120,0.02,▏         ,█▄▅▂▂▁▂▁▃▆,0.08,█           ,▃▄▇▁▁▁▁▄▁▁█▁▁▂▁▁
collect,filters,119,0.02,▏         ,▂▁▁▂▂▁▁▁█▃,0.06,▋           ,▂▁▂▁█▁▁▂▁▁▁▁▁▁▁▁
take until,filters,116,0.02,▏         ,▁▁█▁▁▆▃█▄▁,0.01,▏           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
to md,formats,114,0.02,▏         ,▃▂▁▂▂▂▁█▁▃,0.06,▊           ,▅▆▄▂█▁▁▁▁▆▁▁▁▁▁▁
export def,core,113,0.01,▏         ,▃▁▁▁▁▂▂█▆▃,0.16,█▉          ,▁▂▁▄▂▁▁▁▁▁▁▁▁█▁▁
let-env,removed,112,0.01,▏         ,▄▂█▁▁▁▁▁▁▁,0.21,██▌         ,▁▃▄▁▅▁▁▂▁▂█▁▁▁▆▁
into duration,conversions,110,0.01,▏         ,▁▁▁▁▁▁▁█▁▅,0.05,▋           ,▃▂█▂▁▁▁▁▁▁▁▁▁▂▁▁
zip,filters,108,0.01,▏         ,▃▂▁▁▁▁▃▃█▁,0.07,▉           ,▅▁█▂▆▁▁▅▁▇▁▁▁▇▁▁
random int,random,108,0.01,▏         ,▁▁▁▁▁▁▃▆█▂,0.02,▎           ,█▂▁▃▁▁▁▁▁▁▁▁▁▁▁▁
to,formats,106,0.01,▏         ,▁▁▁▁▆▁█▂▁▁,0.11,█▎          ,▃▂▄▁█▁▂▄▄▇▁▁▁▁▁▁
path exists,path,103,0.01,▏         ,▃▂▁▄▃▂▅▁█▃,0.04,▌           ,▆▁▅█▁▁▁▄▁▁▁▁▁▁▁▁
split column,strings,102,0.01,▏         ,▂▂▁▂▁▁▁▁▁█,0.08,▉           ,▁▁█▂▁▃▁▁▂▁▁▁▁▁▁▁
from csv,formats,99,0.01,▏         ,▂▆▁█▂▁▁▁▂▂,0.11,█▍          ,▁█▂▁▁▁▁▁▁▅▁▁▁▁▁▁
math,math,94,0.01,▏         ,▁▁▁▁▁▁▁█▁▁,0.02,▎           ,█▁▁▄▁▁▁▁▁▁▁▁▁▁▁▁
path split,path,94,0.01,▏         ,▁▁▁▄▂▁▁█▃▂,0.05,▋           ,▃▁▁▁▁▁▁▇▁▁█▁▁▁▁▁
commandline,core,92,0.01,▏         ,▄▁▄▁▂▁█▅▁▂,0.08,█           ,▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁
mut,core,92,0.01,▏         ,█▂▅▁▁▁▅▂▂▁,0.12,█▍          ,▂▂▃▄▅▁▁▂▁▁▁▁▁█▁▁
split list,filters,92,0.01,▏         ,▁▁▁▁▃▁█▃▂▁,0.02,▎           ,█▃▁▂▁▂▁▁▁▁▁▁▁▁▁▁
commandline edit,core,90,0.01,▏         ,▁▁▁▁▁▁█▅▇▂,0.01,▏           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
exit,shells,89,0.01,▏         ,▁▁▁▁▁▁▁▂▁█,0.29,███▌        ,▂▂▁▁▁█▁▁▁▂▁▁▂▁▁▁
compact,filters,88,0.01,▏         ,▁▁▁▁▁▁▂▁▆█,0.02,▎           ,▄▁█▂▁▁▁▁▁▁▁▁▁▁▁▁
move,filters,88,0.01,▏         ,▃▅▅█▅▅▁▁▁▂,0.03,▍           ,▅█▁▁▁▁▁▆▁▁▁▁▁▁▁▁
from nuon,formats,88,0.01,▏         ,▁▂▇▆▇▆█▁▅▃,0.06,▊           ,▂▂▁▁▁▁▁▁▁▁▁█▁▁▁▁
is-empty,filters,88,0.01,▏         ,▆▂█▁▄▁▄▂▂▃,0.2,██▍         ,▁▃▂▃▁▁▁▁▁▁▁▂▁█▁▁
to csv,formats,86,0.01,▏         ,▁▃█▄▁▁▁▁▁▁,0.05,▋           ,▃█▄▁▁▁▁▁▁▁▁▁▁▁▁▁
scope variables,core,85,0.01,▏         ,▁▁▁█▁▁▃▁▁▂,0.01,▏           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
str stats,strings,84,0.01,▏         ,▁▁▁▁▁▁█▁▁▅,0.01,▏           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
view span,debug,83,0.01,▏         ,▁▁▁▁▁▁▃▇█▄,0.02,▎           ,█▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁
match,core,81,0.01,▏         ,▁▃▃▂█▅▃▄▂▂,0.05,▋           ,▂▁▁▃▁▁▁▁▁▁▁▁▁█▁▁
version,core,80,0.01,▏         ,▄▂▁▃▃▁▂▆▃█,0.22,██▊         ,▂▁▂▁▂▁▁▂▂▁▃▃▂▁█▁
du,filesystem,78,0.01,▏         ,▁▂▁▁▁▁▁▁▂█,0.07,▉           ,▁▁▂▁▃▁▁▁▂▁▁█▁▁▁▁
scope commands,core,78,0.01,▏         ,▁▁▁▁▁▁█▂▁▃,0.04,▌           ,▃▂▁▃▁▁▁▁▁▁▁▁▁█▁▁
from tsv,formats,77,0.01,▏         ,█▄▆▁▁▆▁▁▁▃,0.09,█▏          ,▁▂▁▁▁▁▁▁▁▁▁█▁▁▁▁
math min,math,77,0.01,▏         ,▁▁▃▃▁▂▁█▁▁,0.02,▎           ,█▁▁▂▁▁▁▁▁▁▁▁▁▆▁▁
math floor,math,76,0.01,▏         ,▁▆▁▁▃▁▁█▁▁,0.01,▏           ,█▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁
str contains,strings,70,0.01,▏         ,█▂▂▁▂▂▂▁▃▁,0.07,▉           ,▂▃▁▂▁▁▁█▁▁▁▁▁▂▁▁
for,core,70,0.01,▏         ,▄▁█▁▂▁▁▁▂▂,0.16,█▉          ,▁▂▄▃▂▂▁▃▁▁▁█▁▃▁▁
math sqrt,math,69,0.01,▏         ,▁▁▁▃▁▁▁▁█▁,0.01,▏           ,█▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁
input list,platform,67,0.01,▏         ,▁▁▄▄█▂▄▁▁▂,0.02,▎           ,█▄▁▅▁▁▁▁▁▁▁▁▁▁▁▁
headers,filters,67,0.01,▏         ,▁▁▁█▁▁▁▁▁▆,0.02,▎           ,▅▁█▃▁▁▁▁▁▁▁▁▁▁▁▁
nu-highlight,strings,66,0.01,▏         ,▁▂▂▂▁▃▂█▃▂,0.05,▋           ,▃▁▂▁█▁▁▁▁▁▁▁▁▇▁▁
math median,math,62,0.01,▏         ,▁▁▁▂▁▂▁█▂▁,0.01,▏           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
date format,removed,61,0.01,▏         ,█▃▅▁▁▂▁▁▁▁,0.04,▌           ,▂▃█▁▁▁▁▁▁▁▁▁▁▁▁▁
generate,generators,61,0.01,▏         ,▁▁▁▁█▃▃▂▃▂,0.01,▏           ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
hash sha256,hash,61,0.01,▏         ,▂▁▄▅▄▂█▁▂▂,0.01,▏           ,█▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁
