name,crate,first_tag,last_tag
clip,nu-command,0.39.0,0.40.0
paste,nu-command,0.39.0,0.40.0
into column_path,nu-command,0.39.0,0.41.0
autoenv,nu-command,0.39.0,0.44.0
autoenv trust,nu-command,0.39.0,0.44.0
autoenv untrust,nu-command,0.39.0,0.44.0
autoview,nu-command,0.39.0,0.44.0
chart,nu-command,0.39.0,0.44.0
config clear,nu-command,0.39.0,0.44.0
config get,nu-command,0.39.0,0.44.0
config path,nu-command,0.39.0,0.44.0
config remove,nu-command,0.39.0,0.44.0
config set,nu-command,0.39.0,0.44.0
config set_into,nu-command,0.39.0,0.44.0
dataframe aggregate,nu-command,0.39.0,0.44.0
dataframe all-false,nu-command,0.39.0,0.44.0
dataframe all-true,nu-command,0.39.0,0.44.0
dataframe append,nu-command,0.39.0,0.44.0
dataframe arg-max,nu-command,0.39.0,0.44.0
dataframe arg-min,nu-command,0.39.0,0.44.0
dataframe arg-sort,nu-command,0.39.0,0.44.0
dataframe arg-true,nu-command,0.39.0,0.44.0
dataframe arg-unique,nu-command,0.39.0,0.44.0
dataframe column,nu-command,0.39.0,0.44.0
dataframe concatenate,nu-command,0.39.0,0.44.0
dataframe contains,nu-command,0.39.0,0.44.0
dataframe count-null,nu-command,0.39.0,0.44.0
dataframe count-unique,nu-command,0.39.0,0.44.0
dataframe cum,nu-command,0.39.0,0.44.0
dataframe describe,nu-command,0.39.0,0.44.0
dataframe drop,nu-command,0.39.0,0.44.0
dataframe drop-duplicates,nu-command,0.39.0,0.44.0
dataframe drop-nulls,nu-command,0.39.0,0.44.0
dataframe dtypes,nu-command,0.39.0,0.44.0
dataframe filter-with,nu-command,0.39.0,0.44.0
dataframe first,nu-command,0.39.0,0.44.0
dataframe get,nu-command,0.39.0,0.44.0
dataframe get-day,nu-command,0.39.0,0.44.0
dataframe get-hour,nu-command,0.39.0,0.44.0
dataframe get-minute,nu-command,0.39.0,0.44.0
dataframe get-month,nu-command,0.39.0,0.44.0
dataframe get-nanosecond,nu-command,0.39.0,0.44.0
dataframe get-ordinal,nu-command,0.39.0,0.44.0
dataframe get-second,nu-command,0.39.0,0.44.0
dataframe get-week,nu-command,0.39.0,0.44.0
dataframe get-weekday,nu-command,0.39.0,0.44.0
dataframe get-year,nu-command,0.39.0,0.44.0
dataframe group-by,nu-command,0.39.0,0.44.0
dataframe is-duplicated,nu-command,0.39.0,0.44.0
dataframe is-in,nu-command,0.39.0,0.44.0
dataframe is-not-null,nu-command,0.39.0,0.44.0
dataframe is-null,nu-command,0.39.0,0.44.0
dataframe is-unique,nu-command,0.39.0,0.44.0
dataframe join,nu-command,0.39.0,0.44.0
dataframe last,nu-command,0.39.0,0.44.0
dataframe list,nu-command,0.39.0,0.44.0
dataframe melt,nu-command,0.39.0,0.44.0
dataframe not,nu-command,0.39.0,0.44.0
dataframe open,nu-command,0.39.0,0.44.0
dataframe pivot,nu-command,0.39.0,0.44.0
dataframe rename,nu-command,0.39.0,0.44.0
dataframe rename-col,nu-command,0.39.0,0.44.0
dataframe replace,nu-command,0.39.0,0.44.0
dataframe replace-all,nu-command,0.39.0,0.44.0
dataframe rolling,nu-command,0.39.0,0.44.0
dataframe sample,nu-command,0.39.0,0.44.0
dataframe select,nu-command,0.39.0,0.44.0
dataframe set,nu-command,0.39.0,0.44.0
dataframe set-with-idx,nu-command,0.39.0,0.44.0
dataframe shape,nu-command,0.39.0,0.44.0
dataframe shift,nu-command,0.39.0,0.44.0
dataframe show,nu-command,0.39.0,0.44.0
dataframe slice,nu-command,0.39.0,0.44.0
dataframe sort,nu-command,0.39.0,0.44.0
dataframe str-lengths,nu-command,0.39.0,0.44.0
dataframe str-slice,nu-command,0.39.0,0.44.0
dataframe strftime,nu-command,0.39.0,0.44.0
dataframe take,nu-command,0.39.0,0.44.0
dataframe to-csv,nu-command,0.39.0,0.44.0
dataframe to-df,nu-command,0.39.0,0.44.0
dataframe to-dummies,nu-command,0.39.0,0.44.0
dataframe to-lowercase,nu-command,0.39.0,0.44.0
dataframe to-parquet,nu-command,0.39.0,0.44.0
dataframe to-uppercase,nu-command,0.39.0,0.44.0
dataframe unique,nu-command,0.39.0,0.44.0
dataframe value-counts,nu-command,0.39.0,0.44.0
dataframe where,nu-command,0.39.0,0.44.0
dataframe with-column,nu-command,0.39.0,0.44.0
each group,nu-command,0.39.0,0.44.0
each window,nu-command,0.39.0,0.44.0
group-by date,nu-command,0.39.0,0.44.0
into path,nu-command,0.39.0,0.44.0
nu,nu-command,0.39.0,0.44.0
nu plugin,nu-command,0.39.0,0.44.0
pathvar,nu-command,0.39.0,0.44.0
pathvar add,nu-command,0.39.0,0.44.0
pathvar append,nu-command,0.39.0,0.44.0
pathvar remove,nu-command,0.39.0,0.44.0
pathvar reset,nu-command,0.39.0,0.44.0
pathvar save,nu-command,0.39.0,0.44.0
pwd,nu-command,0.39.0,0.44.0
roll column,nu-command,0.39.0,0.44.0
rotate counter-clockwise,nu-command,0.39.0,0.44.0
run_external,nu-command,0.39.0,0.44.0
stub open,nu-command,0.39.0,0.44.0
tags,nu-command,0.39.0,0.44.0
unlet-env,nu-command,0.39.0,0.44.0
filesystem,nu-engine,0.39.0,0.44.0
into column-path,nu-command,0.42.0,0.44.0
dfr pivot,nu-command,0.60.0,0.62.0
dataframe,nu-command,0.39.0,0.63.1
dfr,nu-command,0.60.0,0.63.1
dfr aggregate,nu-command,0.60.0,0.63.1
dfr column,nu-command,0.60.0,0.63.1
dfr count-unique,nu-command,0.60.0,0.63.1
dfr describe,nu-command,0.60.0,0.63.1
dfr rename-col,nu-command,0.60.0,0.63.1
dfr sort,nu-command,0.60.0,0.63.1
dfr to-df,nu-command,0.60.0,0.63.1
dfr to-dummies,nu-command,0.60.0,0.63.1
dfr to-lowercase,nu-command,0.60.0,0.63.1
dfr to-nu,nu-command,0.60.0,0.63.1
dfr to-uppercase,nu-command,0.60.0,0.63.1
dfr fill-na,nu-command,0.63.0,0.63.1
dfr to-lazy,nu-command,0.63.0,0.63.1
