command,crate,tag
str lpad,nu-command,0.77.0
str find-replace,nu-command,0.77.0
str to-decimal,nu-command,0.77.0
str rpad,nu-command,0.77.0
source,nu-command,0.77.0
export old-alias,nu-command,0.77.0
str to-int,nu-command,0.77.0
math eval,nu-command,0.77.0
str to-datetime,nu-command,0.77.0
hash base64,nu-command,0.77.0
old-alias,nu-command,0.77.0
view,nu-command,0.77.0
view files,nu-command,0.77.0
debug,nu-command,0.77.0
inspect,nu-command,0.77.0
ast,nu-command,0.77.0
timeit,nu-command,0.77.0
explain,nu-command,0.77.0
profile,nu-command,0.77.0
metadata,nu-command,0.77.0
random integer,nu-command,0.77.0
view span,nu-command,0.77.0
random uuid,nu-command,0.77.0
random chars,nu-command,0.77.0
random,nu-command,0.77.0
seq,nu-command,0.77.0
cal,nu-command,0.77.0
random bool,nu-command,0.77.0
random dice,nu-command,0.77.0
view source,nu-command,0.77.0
seq date,nu-command,0.77.0
seq char,nu-command,0.77.0
random decimal,nu-command,0.77.0
explore,nu-command,0.77.0
grid,nu-command,0.77.0
bits or,nu-command,0.77.0
bits not,nu-command,0.77.0
bits xor,nu-command,0.77.0
bits shl,nu-command,0.77.0
bits and,nu-command,0.77.0
table,nu-command,0.77.0
bits shr,nu-command,0.77.0
math product,nu-command,0.77.0
math tau,nu-command,0.77.0
math median,nu-command,0.77.0
config,nu-command,0.77.0
config nu,nu-command,0.77.0
load-env,nu-command,0.77.0
config env,nu-command,0.77.0
math round,nu-command,0.77.0
math min,nu-command,0.77.0
math arcsin,nu-command,0.77.0
config reset,nu-command,0.77.0
with-env,nu-command,0.77.0
math sum,nu-command,0.77.0
math e,nu-command,0.77.0
export-env,nu-command,0.77.0
math avg,nu-command,0.77.0
source-env,nu-command,0.77.0
math mode,nu-command,0.77.0
math sinh,nu-command,0.77.0
math arcsinh,nu-command,0.77.0
math arccosh,nu-command,0.77.0
math sin,nu-command,0.77.0
math arctan,nu-command,0.77.0
math arccos,nu-command,0.77.0
math stddev,nu-command,0.77.0
math log,nu-command,0.77.0
math tanh,nu-command,0.77.0
math sqrt,nu-command,0.77.0
math cos,nu-command,0.77.0
math variance,nu-command,0.77.0
math tan,nu-command,0.77.0
math ceil,nu-command,0.77.0
math,nu-command,0.77.0
math cosh,nu-command,0.77.0
math ln,nu-command,0.77.0
math max,nu-command,0.77.0
math floor,nu-command,0.77.0
math pi,nu-command,0.77.0
math arctanh,nu-command,0.77.0
sys,nu-command,0.77.0
math abs,nu-command,0.77.0
complete,nu-command,0.77.0
registry query,nu-command,0.77.0
ps,nu-command,0.77.0
which,nu-command,0.77.0
exec,nu-command,0.77.0
let-env,nu-command,0.77.0
nu-check,nu-command,0.77.0
bits rol,nu-command,0.77.0
bits ror,nu-command,0.77.0
bits,nu-command,0.77.0
run-external,nu-command,0.77.0
sleep,nu-command,0.77.0
path exists,nu-command,0.77.0
path expand,nu-command,0.77.0
histogram,nu-command,0.77.0
md5,nu-command,0.77.0
hash,nu-command,0.77.0
ansi strip,nu-command,0.77.0
ansi link,nu-command,0.77.0
ansi gradient,nu-command,0.77.0
into filesize,nu-command,0.77.0
into record,nu-command,0.77.0
ansi,nu-command,0.77.0
path relative-to,nu-command,0.77.0
into string,nu-command,0.77.0
g,nu-command,0.77.0
path split,nu-command,0.77.0
enter,nu-command,0.77.0
p,nu-command,0.77.0
exit,nu-command,0.77.0
into binary,nu-command,0.77.0
into int,nu-command,0.77.0
into,nu-command,0.77.0
into bool,nu-command,0.77.0
n,nu-command,0.77.0
into datetime,nu-command,0.77.0
fmt,nu-command,0.77.0
into decimal,nu-command,0.77.0
sha256,nu-command,0.77.0
path,nu-command,0.77.0
fill,nu-command,0.77.0
shells,nu-command,0.77.0
path basename,nu-command,0.77.0
path type,nu-command,0.77.0
path parse,nu-command,0.77.0
kill,nu-command,0.77.0
path join,nu-command,0.77.0
term size,nu-command,0.77.0
clear,nu-command,0.77.0
path dirname,nu-command,0.77.0
date list-timezone,nu-command,0.77.0
into duration,nu-command,0.77.0
date to-timezone,nu-command,0.77.0
glob,nu-command,0.77.0
mkdir,nu-command,0.77.0
date to-record,nu-command,0.77.0
du,nu-command,0.77.0
open,nu-command,0.77.0
keybindings listen,nu-command,0.77.0
keybindings,nu-command,0.77.0
input,nu-command,0.77.0
keybindings list,nu-command,0.77.0
keybindings default,nu-command,0.77.0
date humanize,nu-command,0.77.0
date now,nu-command,0.77.0
save,nu-command,0.77.0
watch,nu-command,0.77.0
mv,nu-command,0.77.0
date to-table,nu-command,0.77.0
touch,nu-command,0.77.0
date format,nu-command,0.77.0
